first,second,score1,score2
100_efb_10508.jpeg,100_frib_132450.jpeg,0,0
100_efb_50916.jpeg,100_efm_26200.jpeg,0,0
99_frip_2063.jpeg,100_efm_12083.jpeg,0,0
100_frib_168253.jpeg,100_frib_134526.jpeg,0,0
100_efb_45264.jpeg,100_efm_10584.jpeg,0,0
100_efm_19847.jpeg,100_fmfm_12803.jpeg,0,0
100_efm_19195.jpeg,99_efm_8110.jpeg,0,0
100_fmfb_2685.jpeg,100_frib_103657.jpeg,0,0
100_fmfb_456.jpeg,100_fmfb_2116.jpeg,0,0
100_fmfp_1343.jpeg,99_efm_42869.jpeg,0,0
100_efm_21846.jpeg,100_efm_17148.jpeg,0,0
100_frib_133133.jpeg,100_fmfm_6698.jpeg,0,0
100_fmfm_3930.jpeg,100_efm_57177.jpeg,0,0
99_frib_69147.jpeg,100_efm_67921.jpeg,0,0
100_fmfm_2385.jpeg,100_frip_86.jpeg,0,0
100_efm_27843.jpeg,100_frib_183866.jpeg,0,0
100_frib_15786.jpeg,100_efm_63926.jpeg,0,0
100_efp_30283.jpeg,100_efb_64.jpeg,0,0
99_efb_42760.jpeg,100_frib_199019.jpeg,0,0
100_efb_44947.jpeg,100_fmfm_337.jpeg,0,0
100_fmfm_1862.jpeg,100_efb_14996.jpeg,0,0
100_frim_46617.jpeg,99_fmfm_1228.jpeg,0,0
100_efb_33802.jpeg,100_efm_19327.jpeg,0,0
100_frib_186469.jpeg,100_efm_24847.jpeg,0,0
100_frim_45395.jpeg,100_efb_5868.jpeg,0,0
100_efb_12587.jpeg,100_fmfm_4868.jpeg,0,0
100_efm_25606.jpeg,100_efb_33546.jpeg,0,0
100_efb_34264.jpeg,100_efm_52155.jpeg,0,0
100_fmfb_4740.jpeg,100_frib_132589.jpeg,0,0
100_frib_138845.jpeg,100_efb_20198.jpeg,0,0
100_fmfb_4780.jpeg,100_fmfm_1304.jpeg,0,0
100_efm_30083.jpeg,100_frim_45939.jpeg,0,0
100_frib_184785.jpeg,100_efm_68078.jpeg,0,0
100_efm_8268.jpeg,99_efp_28072.jpeg,0,0
100_fmfm_8583.jpeg,100_efb_3185.jpeg,0,0
100_fmfm_7178.jpeg,100_frib_138519.jpeg,0,0
100_fmfm_9601.jpeg,100_frib_179718.jpeg,0,0
100_fmfb_15299.jpeg,100_efb_12311.jpeg,0,0
100_fmfb_10027.jpeg,99_fmfp_890.jpeg,0,0
100_efb_13426.jpeg,100_efm_11912.jpeg,0,0
100_frib_113472.jpeg,100_efm_62808.jpeg,0,0
100_efm_65949.jpeg,100_frim_34176.jpeg,0,0
99_fmfb_15281.jpeg,100_frib_234801.jpeg,0,0
99_frim_17604.jpeg,99_efb_39088.jpeg,0,0
100_efm_55219.jpeg,100_frib_132452.jpeg,0,0
100_efm_26196.jpeg,100_frim_61704.jpeg,0,0
100_fmfm_9695.jpeg,100_efb_12579.jpeg,0,0
100_efp_30275.jpeg,99_frib_132359.jpeg,0,0
100_frim_61612.jpeg,100_efb_14462.jpeg,0,0
100_efb_13014.jpeg,100_efm_17905.jpeg,0,0
99_efb_50992.jpeg,100_efb_25629.jpeg,0,0
99_fmfm_1922.jpeg,100_fmfm_679.jpeg,0,0
100_efb_32263.jpeg,99_efb_1778.jpeg,0,0
100_fmfb_6742.jpeg,100_efb_37046.jpeg,0,0
100_efm_63436.jpeg,100_efb_11136.jpeg,0,0
100_frib_95864.jpeg,99_efb_8065.jpeg,0,0
100_fmfb_15266.jpeg,100_efb_50640.jpeg,0,0
100_frim_2698.jpeg,100_efm_29968.jpeg,0,0
100_frib_179946.jpeg,100_efb_1721.jpeg,0,0
100_efm_313.jpeg,100_efb_47171.jpeg,0,0
99_frib_234377.jpeg,100_efb_5909.jpeg,0,0
100_efm_9720.jpeg,100_fmfb_4570.jpeg,0,0
100_efm_57401.jpeg,100_efm_36780.jpeg,0,0
100_frim_61058.jpeg,100_frib_182843.jpeg,0,0
100_fmfb_421.jpeg,100_frib_52762.jpeg,0,0
99_frib_236305.jpeg,99_efm_44575.jpeg,0,0
100_efm_20382.jpeg,100_efm_27641.jpeg,0,0
100_efm_8907.jpeg,100_frib_185272.jpeg,0,0
100_efb_13152.jpeg,100_efb_41337.jpeg,0,0
100_efb_36286.jpeg,100_efb_25921.jpeg,0,0
100_efb_19559.jpeg,100_fmfb_5610.jpeg,0,0
100_frib_50989.jpeg,100_efb_13019.jpeg,0,0
100_fmfm_6969.jpeg,100_frib_168266.jpeg,0,0
100_efb_7008.jpeg,100_frib_126589.jpeg,0,0
100_frib_153804.jpeg,100_fmfm_6987.jpeg,0,0
100_frib_134732.jpeg,99_frim_46713.jpeg,0,0
100_fmfm_8754.jpeg,100_frib_137213.jpeg,0,0
100_frib_53620.jpeg,100_efm_28409.jpeg,0,0
100_fmfm_7771.jpeg,100_frib_124371.jpeg,0,0
99_efb_12641.jpeg,100_frib_94310.jpeg,0,0
100_fmfm_4973.jpeg,100_frib_203277.jpeg,0,0
100_frib_232797.jpeg,100_efb_33843.jpeg,0,0
100_efm_29582.jpeg,100_frib_79691.jpeg,0,0
99_fmfb_6520.jpeg,100_efb_32258.jpeg,0,0
